example_id                                                         | status | run_time        |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:1:2:1]         | passed | 0.0005 seconds  |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:1:2:2]         | passed | 0.00046 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:1:2:3]         | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:2:1]           | passed | 0.00054 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:2:2]           | passed | 0.00068 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:2:3]           | passed | 0.00053 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:3:1:1]         | passed | 0.00051 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:3:1:2]         | passed | 0.00049 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:3:2:1]         | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:3:2:2]         | passed | 0.00046 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:3:2:3]         | passed | 0.00047 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:4:1]           | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:4:2]           | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:5:1]           | passed | 0.00061 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:5:2]           | passed | 0.00051 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:6:1]           | passed | 0.00051 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:6:2]           | passed | 0.0005 seconds  |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:6:3]           | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:6:4]           | passed | 0.0005 seconds  |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:7:1]           | passed | 0.00093 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:7:2]           | passed | 0.00047 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:8:1:1]         | passed | 0.00052 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:8:1:2]         | passed | 0.00053 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:8:2:1]         | passed | 0.00059 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:9:1]           | passed | 0.00053 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:9:2]           | passed | 0.00055 seconds |
./spec/queries/warcraft_logs/class_helper_spec.rb[1:9:3]           | passed | 0.00051 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:1:1:1]      | passed | 0.00182 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:1:1:2]      | passed | 0.0018 seconds  |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:1:2:1]      | passed | 0.00196 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:2:1:1]      | passed | 0.00058 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:2:1:2]      | passed | 0.00057 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:2:1:3]      | passed | 0.00059 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:3:1:1]      | passed | 0.00194 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:3:2:1]      | passed | 0.00063 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:4:1:1]      | passed | 0.00062 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:5:1]        | passed | 0.00082 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:6:1]        | passed | 0.00081 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:7:1:1]      | passed | 0.00066 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:7:2:1]      | passed | 0.00062 seconds |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:7:3:1]      | passed | 0.0006 seconds  |
./spec/queries/warcraft_logs/encounter_query_spec.rb[1:8:1]        | passed | 0.0007 seconds  |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:1:1:1]          | passed | 0.00203 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:1:2:1]          | passed | 0.00231 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:1:1]          | passed | 0.00178 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:2:1]          | passed | 0.00166 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:3:1]          | passed | 0.00188 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:3:2]          | passed | 0.00186 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:3:3]          | passed | 0.00168 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:2:3:4]          | passed | 0.0017 seconds  |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:3:1:1]          | passed | 0.0018 seconds  |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:3:2:1]          | passed | 0.00187 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:4:1:1]          | passed | 0.00216 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:4:1:2]          | passed | 0.00283 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:4:2:1]          | failed | 0.00222 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:5:1:1]          | passed | 0.00201 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:5:2:1]          | passed | 0.00243 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:5:3:1]          | passed | 0.01518 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:5:4:1]          | passed | 0.0029 seconds  |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:6:1:1]          | passed | 0.00205 seconds |
./spec/queries/warcraft_logs/guild_query_spec.rb[1:6:2:1]          | passed | 0.00236 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:1:1:1]    | passed | 0.00274 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:1:2:1]    | passed | 0.00315 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:2:1:1]    | passed | 0.00118 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:2:1:2]    | passed | 0.00072 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:2:1:3]    | passed | 0.00088 seconds |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:2:2:1]    | passed | 0.0007 seconds  |
./spec/queries/warcraft_logs/performance_query_spec.rb[1:3:1:1]    | passed | 0.00178 seconds |
